speechiness,key,time_signature,liveness,loudness,duration_ms,danceability,duration,valence,acousticness,spotify_id,volume_number,energy,tempo,instrumentalness,mode,number,artist,title
0.14,4,4,0.0521,-6.055,267267,0.891,266,0.82,0.202,spotify:track:1AWQoqb9bSvzTjaLralEkT,13,0.714,100.972,0.000234,0,1,Justin Timberlake,Rock Your Body
0.0555,10,4,0.0853,-5.416,222040,0.741,221,0.362,0.0398,spotify:track:7AUfOfYTfiHhgg2Pw1aTpw,13,0.575,93.992,0.127,0,2,Jennifer Lopez,I'm Glad
0.216,3,4,0.0504,-6.562,205000,0.676,203,0.533,0.0241,spotify:track:5UrbZaqIsclBE9IAcnG43M,13,0.561,89.947,0,0,3,B2K,Girlfriend
0.301,1,4,0.0518,-4.857,280053,0.691,229,0.877,0.0186,spotify:track:6JW8DqCEOWaj8z5AIx4ugf,13,0.858,92.773,0,1,4,Jay-Z,Excuse Me Miss
0.244,5,4,0.0908,-7.114,268333,0.573,218,0.578,0.00029,spotify:track:5DLkPmyenHS2uJclC8nPCA,13,0.606,176.449,0,0,5,Ginuwine featuring Baby,Hell Yeah
0.331,6,4,0.106,-4.959,251373,0.582,237,0.66,0.0438,spotify:track:7tDbbfzB1d52lWP8rq8zRZ,13,0.855,104.963,0,1,6,Joe Budden,Pump It Up
0.182,6,4,0.0666,-3.914,253720,0.837,248,0.703,0.103,spotify:track:2NPxL1QqPrD1a7OLHjVcAP,13,0.885,95.313,0,0,7,Nas,I Can
0.0356,5,4,0.288,-8.443,245063,0.677,246,0.184,0.395,spotify:track:02y3FRLRlmzIpi2y8ZbN2w,13,0.422,130.2,0,0,8,Frankie J,Don't Wanna Try
0.0318,10,4,0.105,-7.705,257160,0.682,242,0.264,0.555,spotify:track:4gJoAvFpDvaeqm2EKYGmhb,13,0.547,120,0,1,9,Daniel Bedingfield,If You're Not the One
0.0557,1,4,0.233,-4.346,225427,0.685,223,0.852,0.00321,spotify:track:1oJSAzNyTUCm36zhFYMcAZ,13,0.878,88.027,0,1,10,Counting Crows featuring Vanessa Carlton,Big Yellow Taxi
